Region,Sub-Region,Transmission Station,Sub-Station
Enugu,Onitsha Sub-region,Onitsha 330/132kV T/S,Agu Awka132/33kV S/S
Enugu,Onitsha Sub-region,Onitsha 330/132kV T/S,Oji River 132/66/33kV S/S
Enugu,Onitsha Sub-region,Onitsha 330/132kV T/S,"Umuchu 132/33kV S/S
(Under Construction)"
Enugu,Onitsha Sub-region,Onitsha 330/132kV T/S,"Ihiala 330/132/33kV S/S
(Under Construction)"
Enugu,Onitsha Sub-region,Onitsha 330/132kV T/S,"Nnewi 132/33kV S/S
(Under Construction)"
Enugu,Onitsha Sub-region,Onitsha 330/132kV T/S,"Ojoto 132/33kV S/S
(Under construction)"
Enugu,Onitsha Sub-region,Onitsha 330/132kV T/S,"Aguleri 132/33kV S/S
(only fence)"
Enugu,Asaba Work centre,Asaba 330/132kV T/S,Asaba 132/33kV S/S
Enugu,Asaba Work centre,Asaba 330/132kV T/S,Agbor 132/33kV S/S
Enugu,Asaba Work centre,Asaba 330/132kV T/S,"Kwale 132/33KV S/S
(Only fence)"
Enugu,Asaba Work centre,Asaba 330/132kV T/S,"Nsukwa 132/33kV S/S
(Only plot of land)"
Enugu,Apir Sub-region,Makurdi 330/132kV T/S,Apir 132/33kV S/S
Enugu,Apir Sub-region,Makurdi 330/132kV T/S,Yandev 132/33kV S/S
Enugu,Apir Sub-region,Makurdi 330/132kV T/S,Otukpo 132/33kV S/S
Enugu,Apir Sub-region,Makurdi 330/132kV T/S,Wukari 132/33kV S/S
Enugu,Apir Sub-region,Makurdi 330/132kV T/S,Takum 132/33kV S/S
Enugu,Apir Sub-region,Makurdi 330/132kV T/S,Kashimbila 132kV S/S
Enugu,Apir Sub-region,Makurdi 330/132kV T/S,"Zakibiam 132/33kV S/S
(Under Construction)"
Enugu,Apir Sub-region,Makurdi 330/132kV T/S,"NorthBank 132/33kV S/S
(Under Construction)"
Enugu,Apir Sub-region,Makurdi 330/132kV T/S,"Ugba 132/33kV S/S
(Under Construction)"
,,,
Kaduna,Kaduna Sub-region,Mando 330/132/33kV T/S,Mando 132/33kV S/S
Kaduna,Kaduna Sub-region,Mando 330/132/33kV T/S,Kaduna Town 132/33kV S/S
Kaduna,Kaduna Sub-region,Mando 330/132/33kV T/S,Zaria 132/33kV S/S
Kaduna,Kaduna Sub-region,Jaja 330/132/33kV T/S (ongoing project),Kudendan 132/33kV S/S
Kaduna,Kaduna Sub-region,Jaja 330/132/33kV T/S (ongoing project),Jaji 132/33kV S/S
Kaduna,Kaduna Sub-region,Jaja 330/132/33kV T/S (ongoing project),Jaja 132/33kV S/S
Kaduna,Gusau Works Centre,Jaja 330/132/33kV T/S (ongoing project),Funtua 132/33kV S/S
Kaduna,Gusau Works Centre,Jaja 330/132/33kV T/S (ongoing project),Gusau 132/33kV S/S
Kaduna,Gusau Works Centre,Jaja 330/132/33kV T/S (ongoing project),Talata-Mafara 132/33kV S/S
Kaduna,Birnin Kebbi Sub-region (Proposed),Birnin Kebbi 330/132/33kV T/S,Birnin Kebbi 132kV S/S
